mmsi,latitude_deg,longitude_deg,utc_s,ground_ms,azimuth_deg,valid,datetime,speed_knots
ship_106,81.28010559082031,145.52439880371094,1739128191,7674,302.3261108398437,True,2025-02-09 19:09:51,14.92
ship_106,77.2558822631836,-178.27870178222656,1739211324,7679,323.9439697265625,True,2025-02-10 18:15:24,14.93
ship_107,74.13215637207031,147.2450714111328,1738962257,7679,331.22900390625,True,2025-02-07 21:04:17,14.93
ship_107,76.10775756835938,172.53390502929688,1739041525,7679,327.0904541015625,True,2025-02-08 19:05:25,14.93
ship_107,77.30738830566406,-178.44944763183594,1739211325,7679,323.7855529785156,True,2025-02-10 18:15:25,14.93
ship_108,76.16126251220703,172.38914489746094,1739041526,7679,326.9579772949219,True,2025-02-08 19:05:26,14.93
ship_108,77.35879516601562,-178.62152099609375,1739211326,7679,323.6257629394531,True,2025-02-10 18:15:26,14.93
ship_109,79.40351867675781,29.72148895263672,1738964115,7674,224.4849548339844,True,2025-02-07 21:35:15,14.92
ship_109,76.21468353271484,172.2432861328125,1739041527,7679,326.8244934082031,True,2025-02-08 19:05:27,14.93
ship_109,80.83013916015625,68.78128051757812,1739043396,7674,233.60256958007807,True,2025-02-08 19:36:36,14.92
ship_109,77.41009521484375,-178.79495239257812,1739211327,7679,323.46484375,True,2025-02-10 18:15:27,14.93
ship_110,79.35802459716797,29.479990005493164,1738964116,7674,224.2557678222656,True,2025-02-07 21:35:16,14.92
ship_110,76.26802062988281,172.0963592529297,1739041528,7679,326.6898803710937,True,2025-02-08 19:05:28,14.93
ship_110,80.792236328125,68.4611587524414,1739043397,7674,233.2944793701172,True,2025-02-08 19:36:37,14.92
ship_110,79.40235900878906,65.14433288574219,1739128409,7674,224.463134765625,True,2025-02-09 19:13:29,14.92
ship_110,77.46127319335938,-178.96975708007812,1739211328,7679,323.3023681640625,True,2025-02-10 18:15:28,14.93
ship_111,79.31234741210938,29.24049568176269,1738964117,7674,224.02859497070312,True,2025-02-07 21:35:17,14.92
ship_111,76.32128143310547,171.9483642578125,1739041529,7679,326.55419921875,True,2025-02-08 19:05:29,14.93
ship_111,80.75407409667969,68.14362335205078,1739043398,7674,232.9886474609375,True,2025-02-08 19:36:38,14.92
ship_111,79.35684967041016,64.90292358398438,1739128410,7674,224.23411560058597,True,2025-02-09 19:13:30,14.92
ship_111,77.51235961914062,-179.14590454101562,1739211329,7679,323.1386413574219,True,2025-02-10 18:15:29,14.93
ship_111,77.05461883544922,61.45783615112305,1739213453,7676,215.4464569091797,True,2025-02-10 18:50:53,14.92
ship_112,79.2665023803711,29.00297737121582,1738964118,7674,223.8033905029297,True,2025-02-07 21:35:18,14.92
ship_112,-16.967384338378906,-147.6077423095703,1739040029,7697,348.75885009765625,True,2025-02-08 18:40:29,14.96
ship_112,76.37445068359375,171.79925537109375,1739041530,7679,326.41748046875,True,2025-02-08 19:05:30,14.93
ship_112,80.71562194824219,67.82864379882812,1739043399,7674,232.6863250732422,True,2025-02-08 19:36:39,14.92
ship_112,79.31114959716797,64.66352081298828,1739128411,7674,224.0072326660156,True,2025-02-09 19:13:31,14.92
ship_112,77.56333923339844,-179.32345581054688,1739211330,7679,322.9732666015625,True,2025-02-10 18:15:30,14.93
ship_112,82.66336059570312,119.55684661865234,1739213240,7674,271.3196716308594,True,2025-02-10 18:47:20,14.92
ship_112,77.05461883544922,61.45783615112305,1739213454,7676,215.4464569091797,True,2025-02-10 18:50:54,14.92
ship_113,80.44061279296875,71.6585922241211,1738782775,7673,230.6426239013672,True,2025-02-05 19:12:55,14.92
